;Location;Price;Rooms;WCs;Net Floor Area (m2);Gross Private Area (m2);Parking;Floor;Energy Performance Certificate;Elevator_Not available;Capital;Median Age;Distance To Ocean;Metropolitan Areas;Large cities;Coastal Locations
462;Torres Novas (São Pedro), Lapas e Ribeira Branca, Santarém;94500.0;4.0;1.0;;;0.0;;Not available;True;False;50.2;;False;False;False
463;Santa Marinha e São Pedro da Afurada, Porto;240000.0;3.0;2.0;101.0;105.0;0.0;;Not available;True;False;47.0;;True;True;True
464;Seixal, Arrentela e Aldeia de Paio Pires, Setúbal;455000.0;2.0;2.0;80.0;98.0;1.0;0.0;Energy Performance Certificate;False;False;44.9;;True;True;False
465;Ermesinde, Porto;180000.0;2.0;2.0;89.0;93.0;1.0;1.0;Energy Performance Certificate;False;False;47.0;12.607343989226592;True;True;True
466;Laranjeiras Metro, Lisboa;810000.0;4.0;2.0;170.0;170.0;2.0;7.0;Energy Performance Certificate;False;True;44.8;11.893393441456054;True;True;False
467;Massamá 6ª Fase, Sintra;329900.0;3.0;2.0;140.0;155.0;0.0;;Not available;True;False;43.7;;False;False;False
468;Ferrel, Peniche;355000.0;3.0;2.0;91.0;115.0;1.0;1.0;Not available;True;False;47.9;5.698716829153544;False;False;True
469;Ferrel, Peniche;340000.0;3.0;2.0;75.0;96.0;1.0;1.0;Not available;True;False;47.9;5.698716829153544;False;False;True
470;Ferrel, Peniche;240000.0;1.0;1.0;53.0;67.0;1.0;0.0;Not available;True;False;47.9;5.698716829153544;False;False;True
471;Ferrel, Peniche;290000.0;2.0;2.0;66.0;81.0;1.0;0.0;Not available;True;False;47.9;5.698716829153544;False;False;True
472;Ferrel, Peniche;330000.0;3.0;2.0;74.0;96.0;1.0;0.0;Not available;True;False;47.9;5.698716829153544;False;False;True
473;Coronado (São Romão e São Mamede), Porto;174000.0;3.0;2.0;130.0;147.0;1.0;2.0;Energy Performance Certificate;False;False;47.0;;True;True;True
474;Esposende, Marinhas e Gandra, Braga;210000.0;2.0;2.0;85.0;91.0;1.0;;Not available;True;False;44.4;3.065502750377457;False;True;False
475;Santa Maria Maior, Lisboa;165000.0;1.0;1.0;50.0;50.0;0.0;;Not available;True;True;44.8;11.287008909067405;True;True;False
477;Valadares e Francelos, Vila Nova de Gaia;174900.0;2.0;2.0;70.0;77.0;1.0;;Not available;True;False;46.8;8.190226820866064;True;True;False
478;Gondomar (São Cosme), Valbom e Jovim, Porto;149000.0;2.0;2.0;80.0;93.0;1.0;4.0;Energy Performance Certificate;False;False;47.1;;True;True;True
479;Campolide, Lisboa;284000.0;2.0;1.0;71.0;82.0;0.0;;Not available;True;True;44.8;10.866585593669791;True;True;False
480;Covilhã, Covilhã;85000.0;2.0;1.0;72.0;90.0;0.0;;Not available;True;False;52.0;;False;False;False
481;Mina, Amadora;200000.0;2.0;1.0;50.0;60.0;0.0;;Not available;True;False;44.1;9.19543784431275;True;True;False
482;St.º António da Caparica, Almada;449900.0;4.0;2.0;112.0;148.0;0.0;;Not available;True;False;46.3;3.146367539271532;True;False;False
483;São Domingos de Rana, Lisboa;590000.0;3.0;2.0;100.0;161.0;2.0;1.0;Energy Performance Certificate;False;True;44.8;;True;True;False
484;Vila Chã, Vila do Conde;269000.0;3.0;2.0;97.0;97.0;1.0;3.0;Not available;True;False;45.7;;False;False;False
485;São Félix da Marinha III, Vila Nova de Gaia;233000.0;3.0;3.0;125.0;125.0;2.0;0.0;Not available;True;False;46.8;;True;True;False
487;Vilar de Andorinho, Vila Nova de Gaia;155000.0;2.0;1.0;92.0;100.0;0.0;1.0;Energy Performance Certificate;False;False;46.8;6.1107414726810445;True;True;False
488;Caparica e Trafaria, Setúbal;199000.0;2.0;1.0;75.0;77.0;1.0;1.0;Not available;True;False;46.6;;True;True;False
489;Bairro Norton de Matos, Coimbra;310000.0;3.0;2.0;97.0;119.0;0.0;;Not available;True;False;48.3;40.38136760404189;False;True;False
490;Monte, Murtosa;157000.0;2.0;1.0;93.0;113.0;1.0;2.0;Not available;True;False;46.8;28.33535910382682;False;False;False
491;Cacém e São Marcos, Lisboa;165000.0;2.0;1.0;66.0;73.0;0.0;;Not available;True;True;44.8;;True;True;False
492;Lordelo do Ouro, Porto;525000.0;5.0;3.0;166.0;197.0;1.0;3.0;Energy Performance Certificate;False;False;47.0;1.9850624057819264;True;True;True
493;Braga (Maximinos, Sé e Cividade), Braga;190000.0;3.0;2.0;124.0;124.0;1.0;2.0;Not available;True;False;44.4;;False;True;False
494;Quarteira, Faro;360000.0;2.0;1.0;;;0.0;;Not available;True;False;45.7;38.86920377587499;False;False;True
495;Campanhã, Porto;187000.0;3.0;2.0;92.0;96.0;0.0;3.0;Not available;True;False;47.0;;True;True;True
496;Lagoa e Carvoeiro, Faro;235000.0;2.0;1.0;71.0;100.0;0.0;;Not available;True;False;45.7;9.478291520192403;False;False;True
497;Ajuda, Lisboa;199000.0;1.0;1.0;50.0;55.0;0.0;1.0;Not available;True;True;44.8;8.01873198559227;True;True;False
500;Av. Fernão Magalhães, Coimbra;257500.0;1.0;1.0;50.0;68.0;1.0;9.0;Energy Performance Certificate;False;False;48.3;;False;True;False
501;Rio Tinto - Cidade Jovem, Gondomar;260000.0;2.0;2.0;108.0;108.0;1.0;4.0;Energy Performance Certificate;False;False;47.1;11.401725605417132;True;False;False
502;Gulpilhares e Valadares, Porto;185000.0;2.0;2.0;94.0;108.0;1.0;1.0;Energy Performance Certificate;False;False;47.0;7.203684078768482;True;True;True
503;Estrada Monumental, Funchal;595000.0;2.0;2.0;64.0;94.0;2.0;9.0;Energy Performance Certificate;False;False;48.0;914.223294615546;False;True;False
504;Oliveira do Douro, Porto;198000.0;2.0;2.0;97.0;116.0;1.0;6.0;Energy Performance Certificate;False;False;47.0;7.42056882378263;True;True;True
505;Cidade da Maia, Porto;269000.0;3.0;2.0;101.0;106.0;1.0;4.0;Energy Performance Certificate;False;False;45.5;9.976819436369436;True;True;True
507;Linda-a-velha, Oeiras;255000.0;2.0;1.0;70.0;77.0;0.0;;Not available;True;False;46.5;4.781621070710072;False;False;False
508;Lourinhã e Atalaia, Lisboa;173000.0;1.0;1.0;51.0;57.0;1.0;;Not available;True;True;47.1;;True;True;False
509;Massamá, Sintra;190000.0;2.0;1.0;74.0;82.0;0.0;;Not available;True;False;43.7;;False;False;False
510;Gualtar, Braga;209000.0;3.0;2.0;108.0;135.0;1.0;3.0;Not available;True;False;44.4;29.52355037845546;False;True;False
512;Torno, Porto;123500.0;2.0;1.0;102.0;117.0;1.0;3.0;Energy Performance Certificate;False;False;47.0;41.566375625907966;True;True;True
513;Cacilhas, Almada;185000.0;2.0;1.0;69.0;72.0;0.0;;Not available;True;False;46.3;8.637689974926232;True;False;False
514;Cacém e São Marcos, Lisboa;198000.0;2.0;1.0;83.0;90.0;0.0;;Not available;True;True;44.8;;True;True;False
515;Cova da Piedade, Almada;329000.0;2.0;2.0;94.0;122.0;1.0;2.0;Energy Performance Certificate;False;False;46.3;7.020425110686671;True;False;False
516;Samora Correia, Santarém;155000.0;3.0;2.0;121.0;121.0;0.0;;Not available;True;False;48.3;;False;False;False
517;Alhandra, Vila Franca de Xira;125000.0;2.0;1.0;45.0;64.0;0.0;;Not available;True;False;44.1;35.443728472174655;False;False;False
518;Matosinhos e Leça da Palmeira, Porto;135000.0;3.0;1.0;80.0;145.0;0.0;;Not available;True;False;47.5;;True;True;True
520;Mafamude e Vilar do Paraíso, Porto;275000.0;2.0;2.0;117.0;134.0;1.0;5.0;Not available;False;False;47.0;;True;True;True
521;Mafamude e Vilar do Paraíso, Porto;270000.0;2.0;2.0;117.0;134.0;1.0;4.0;Not available;False;False;47.0;;True;True;True
522;Mafamude e Vilar do Paraíso, Porto;190000.0;1.0;2.0;85.0;85.0;0.0;;Not available;True;False;47.0;;True;True;True
523;Mafamude e Vilar do Paraíso, Porto;265000.0;2.0;2.0;104.0;120.0;1.0;4.0;Not available;False;False;47.0;;True;True;True
524;Mafamude e Vilar do Paraíso, Porto;270000.0;2.0;2.0;117.0;137.0;1.0;3.0;Not available;False;False;47.0;;True;True;True
525;Mafamude e Vilar do Paraíso, Porto;180000.0;1.0;2.0;85.0;85.0;0.0;;Not available;True;False;47.0;;True;True;True
526;Mafamude e Vilar do Paraíso, Porto;265000.0;2.0;2.0;117.0;133.0;1.0;2.0;Not available;False;False;47.0;;True;True;True
527;Mafamude e Vilar do Paraíso, Porto;175000.0;1.0;2.0;85.0;85.0;0.0;;Not available;True;False;47.0;;True;True;True
528;Mafamude e Vilar do Paraíso, Porto;210000.0;2.0;2.0;104.0;104.0;0.0;;Not available;True;False;47.0;;True;True;True
529;Mafamude e Vilar do Paraíso, Porto;250000.0;2.0;2.0;117.0;135.0;1.0;1.0;Not available;False;False;47.0;;True;True;True
530;Mafamude e Vilar do Paraíso, Porto;170000.0;1.0;2.0;86.0;86.0;0.0;;Not available;True;False;47.0;;True;True;True
531;Mafamude e Vilar do Paraíso, Porto;200000.0;2.0;2.0;104.0;122.0;0.0;;Not available;True;False;47.0;;True;True;True
532;Mafamude e Vilar do Paraíso, Porto;160000.0;1.0;2.0;67.0;67.0;0.0;;Not available;True;False;47.0;;True;True;True
533;Mafamude e Vilar do Paraíso, Porto;195000.0;2.0;2.0;104.0;122.0;1.0;0.0;Not available;False;False;47.0;;True;True;True
534;Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Lisboa;490000.0;3.0;2.0;103.0;113.0;0.0;;Not available;True;True;44.8;;True;True;False
535;Selho (São Jorge), Braga;216000.0;3.0;3.0;140.0;154.0;2.0;4.0;Not available;True;False;44.4;;False;True;False
536;Graça, Lisboa;350000.0;2.0;1.0;61.0;71.0;0.0;;Not available;True;True;44.8;;True;True;False
537;Chiado, Lisboa;895000.0;3.0;4.0;147.0;163.0;0.0;;Not available;True;True;44.8;10.78655434870648;True;True;False
538;Praça Rainha D. Amélia, Porto;165000.0;1.0;1.0;40.0;43.0;0.0;;Not available;True;False;47.0;;True;True;True
539;Montijo e Afonsoeiro, Setúbal;197500.0;3.0;2.0;78.0;95.0;0.0;;Not available;True;False;42.6;;True;True;False
540;Avenidas Novas, Lisboa;335000.0;0.0;1.0;47.0;64.0;1.0;4.0;Energy Performance Certificate;False;True;44.8;13.13200174110294;True;True;False
541;Castelo Branco, Castelo Branco;137000.0;4.0;2.0;148.0;195.0;0.0;;Not available;True;False;50.5;124.20107703903876;False;False;False
542;Moncarapacho e Fuseta, Faro;165000.0;1.0;1.0;64.0;64.0;1.0;1.0;Not available;True;False;45.7;66.48155661272949;False;False;True
543;São Domingos de Benfica, Lisboa;375000.0;1.0;1.0;62.0;62.0;1.0;2.0;Not available;True;True;44.8;9.792851966067698;True;True;False
544;Vila do Conde, Porto;950000.0;4.0;3.0;181.0;190.0;2.0;1.0;Energy Performance Certificate;False;False;47.0;18.041941849848865;True;True;True
545;Penha de França, Lisboa;350000.0;3.0;1.0;;;0.0;;Not available;True;True;44.8;;True;True;False
546;Lavradio, Barreiro;115000.0;2.0;1.0;52.0;61.0;0.0;;Not available;True;False;47.0;15.917019846488934;False;False;False
547;Lumiar, Lisboa;299000.0;1.0;1.0;66.0;66.0;1.0;0.0;Energy Performance Certificate;False;True;44.8;13.776681240787086;True;True;False
548;Estrada Monumental, Funchal;580000.0;2.0;2.0;64.0;94.0;2.0;10.0;Energy Performance Certificate;False;False;48.0;914.223294615546;False;True;False
549;ERA Palmela Azeitao, Seixal;170000.0;2.0;1.0;79.0;87.0;0.0;;Not available;True;False;45.3;29.93717869097156;False;False;False
550;Santa Marta do Pinhal, Seixal;182000.0;2.0;1.0;77.0;77.0;0.0;;Not available;True;False;44.9;11.806414752230276;False;False;False
551;ERA Palmela Azeitao, Barreiro;225000.0;3.0;2.0;111.0;125.0;0.0;;Not available;True;False;47.0;23.6364189681974;False;False;False
553;ERA Palmela Azeitao, Moita;120000.0;1.0;1.0;51.0;61.0;0.0;;Not available;True;False;45.0;29.93717869097156;False;False;False
554;Vale Churido, Bragança;139000.0;3.0;2.0;;;0.0;;Not available;True;False;44.4;;False;True;False
555;Loures, Loures;240000.0;2.0;1.0;63.0;63.0;0.0;;Not available;True;False;44.6;18.34297673814834;False;False;False
557;Marvila, Lisboa;255000.0;2.0;1.0;77.0;77.0;0.0;;Not available;True;True;44.8;15.532421029518922;True;True;False
558;Santa Clara, Coimbra;168000.0;2.0;1.0;90.0;98.0;1.0;;Not available;True;False;48.3;37.78388298667887;False;True;False
559;Rio Tinto, Porto;180000.0;2.0;2.0;81.0;98.0;1.0;2.0;Energy Performance Certificate;False;False;47.0;9.7032781760626;True;True;True
560;Vendas Novas, Évora;165000.0;3.0;2.0;110.0;110.0;0.0;;Not available;True;False;46.9;;False;False;False
561;Loulé (São Sebastião), Faro;265000.0;2.0;1.0;60.0;79.0;0.0;0.0;Not available;True;False;45.7;;False;False;True
562;Loulé (São Sebastião), Faro;265000.0;2.0;1.0;59.0;74.0;0.0;1.0;Not available;True;False;45.7;;False;False;True
563;Loulé, Loulé;270000.0;2.0;1.0;61.0;78.0;0.0;1.0;Not available;True;False;46.9;;False;False;False
564;Marinha Grande, Leiria;155000.0;3.0;2.0;100.0;108.0;1.0;2.0;Not available;True;False;46.4;46.65688543804384;False;False;False
565;Canidelo, Porto;625000.0;2.0;2.0;92.0;105.0;2.0;3.0;Energy Performance Certificate;False;False;47.0;3.964557675534072;True;True;True
566;Castelo Branco, Castelo Branco;215000.0;3.0;3.0;110.0;138.0;3.0;1.0;Not available;True;False;50.5;124.20107703903876;False;False;False
567;Vila Nova de Paiva, Vila Nova de Paiva;99000.0;3.0;2.0;96.0;109.0;1.0;1.0;Not available;True;False;53.7;75.08154361619711;False;False;False
568;Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu), Coimbra;237500.0;4.0;2.0;99.0;128.0;1.0;2.0;Not available;False;False;48.3;;False;True;False
569;Granja Park, Castelo Branco;227000.0;3.0;2.0;117.0;140.0;1.0;3.0;Energy Performance Certificate;False;False;50.5;123.15261137343614;False;False;False
570;Ajuda, Funchal;480000.0;3.0;2.0;113.0;134.0;3.0;4.0;Energy Performance Certificate;False;False;48.0;913.3577824919169;False;True;False
571;Santa Marinha e São Pedro da Afurada, Porto;200000.0;1.0;2.0;59.0;69.0;1.0;1.0;Not available;True;False;47.0;;True;True;True
572;Entroncamento, Entroncamento;156000.0;3.0;2.0;108.0;108.0;1.0;;Not available;True;False;45.5;77.15659134196778;False;False;False
574;Guarda, Guarda;82380.0;4.0;2.0;80.0;90.0;0.0;;Not available;True;False;49.6;;False;False;False
575;Pampilhosa, Mealhada;120000.0;2.0;1.0;92.0;101.0;0.0;;Not available;True;False;49.3;43.5060658417184;False;False;False
576;Campolide, Lisboa;420000.0;2.0;1.0;62.0;62.0;0.0;8.0;Energy Performance Certificate;False;True;44.8;10.866585593669791;True;True;False
577;Custóias, Matosinhos;178000.0;2.0;1.0;68.0;83.0;1.0;0.0;Not available;True;False;47.5;;True;False;False
578;Campo de Ourique, Lisboa;349500.0;1.0;1.0;54.0;61.0;0.0;;Not available;True;True;44.8;10.281507683662497;True;True;False
579;Alto Sto Amaro, Lisboa;250000.0;1.0;1.0;27.0;37.0;0.0;0.0;Energy Performance Certificate;False;True;44.8;11.879567368245146;True;True;False
580;Alhos Vedros, Setúbal;95000.0;1.0;1.0;;;0.0;;Not available;True;False;46.6;;True;True;False
581;Vila Praia de Âncora, Viana do Castelo;280000.0;4.0;3.0;155.0;161.0;2.0;;Not available;True;False;48.8;;False;False;True
582;Paços de Ferreira, Porto;270000.0;3.0;3.0;130.0;143.0;2.0;0.0;Energy Performance Certificate;False;False;47.0;;True;True;True
583;Ponta Delgada (São Pedro), Ilha de São Miguel;445000.0;3.0;2.0;197.0;197.0;2.0;3.0;Not available;False;False;42.2;;False;False;False
584;Corroios, Setúbal;170000.0;3.0;1.0;93.0;93.0;0.0;;Not available;True;False;46.6;;True;True;False
586;Vilamoura, Loulé;350000.0;1.0;1.0;62.0;62.0;0.0;3.0;Not available;True;False;46.9;;False;False;False
587;Santa Marinha e Afurada, Vila Nova de Gaia;650000.0;3.0;3.0;128.0;156.0;2.0;6.0;Not available;True;False;46.8;4.89119145704773;True;True;False
588;São Marcos, Sintra;189900.0;2.0;1.0;76.0;82.0;0.0;;Not available;True;False;43.7;;False;False;False
589;Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto;460000.0;2.0;3.0;;;0.0;;Not available;True;False;47.0;;True;True;True
590;Barcarena, Lisboa;189000.0;2.0;2.0;75.0;81.0;0.0;;Not available;True;True;44.8;4.13671103688827;True;True;False
591;Barcouço, Mealhada;129500.0;2.0;1.0;105.0;128.0;1.0;1.0;Not available;True;False;49.3;;False;False;False
592;Rua do Brasil / Quinta D. João, Coimbra;220000.0;2.0;1.0;82.0;90.0;0.0;;Not available;True;False;48.3;;False;True;False
593;Canidelo, Vila Nova de Gaia;600000.0;2.0;2.0;92.0;105.0;2.0;1.0;Energy Performance Certificate;False;False;46.8;6.1107414726810445;True;True;False
594;Praia Leça da Palmeira, Matosinhos;650000.0;3.0;2.0;134.0;201.0;3.0;5.0;Not available;False;False;47.5;;True;False;False
596;Aguada de Cima, Águeda;148000.0;2.0;1.0;88.0;88.0;2.0;1.0;Not available;True;False;49.1;;False;False;False
598;Laranjeiro, Almada;145500.0;1.0;1.0;45.0;50.0;0.0;;Not available;True;False;46.3;6.907300997076936;True;False;False
599;Águas Santas, Porto;195000.0;2.0;2.0;106.0;128.0;1.0;5.0;Energy Performance Certificate;False;False;47.0;;True;True;True
601;Cidade da Maia, Porto;180000.0;2.0;1.0;82.0;82.0;0.0;;Not available;True;False;45.5;9.976819436369436;True;True;True
602;Santa Marinha, Vila Nova de Gaia;130000.0;1.0;1.0;45.0;48.0;0.0;;Not available;True;False;46.8;4.89119145704773;True;True;False
603;Arroja, Odivelas;195000.0;2.0;1.0;75.0;75.0;0.0;;Not available;True;False;43.7;14.191968258884296;False;False;False
604;Alfena, Porto;172500.0;3.0;2.0;112.0;125.0;1.0;0.0;Not available;True;False;47.0;15.963105022833892;True;True;True
605;Peniche, Peniche;162500.0;2.0;1.0;82.0;82.0;1.0;1.0;Not available;True;False;47.9;4.690487960994953;False;False;True
606;Alcabideche, Lisboa;480000.0;3.0;2.0;80.0;86.0;1.0;0.0;Not available;True;True;44.8;4.098718251877825;True;True;False
607;Albufeira e Olhos de Água, Faro;159500.0;1.0;1.0;57.0;65.0;0.0;;Not available;True;False;44.4;;False;False;True
608;Almancil Centro, Loulé;290000.0;2.0;2.0;157.0;176.0;1.0;3.0;Not available;False;False;46.9;;False;False;False
609;Bonfim, Porto;165000.0;2.0;1.0;86.0;196.0;0.0;;Not available;True;False;47.0;6.7467861436355925;True;True;True
610;Massamá 2ª Fase, Sintra;219900.0;2.0;1.0;83.0;96.0;0.0;;Not available;True;False;43.7;;False;False;False
611;Arcos de Valdevez (Salvador), Vila Fonche e Parada, Viana do Castelo;207000.0;3.0;2.0;192.0;152.0;1.0;;Not available;True;False;55.4;37.760974591008114;False;False;True
612;Covilhã, Covilhã;175000.0;3.0;2.0;96.0;100.0;0.0;;Not available;True;False;52.0;;False;False;False
613;Faro (Sé e São Pedro), Faro;240000.0;2.0;1.0;66.0;79.0;1.0;3.0;Not available;True;False;45.7;;False;False;True
614;Consolação, Peniche;198000.0;2.0;1.0;63.0;96.0;1.0;1.0;Energy Performance Certificate;False;False;47.9;;False;False;True
615;Espinho I, Espinho;195000.0;1.0;1.0;57.0;57.0;1.0;1.0;Not available;False;False;51.1;87.81808599129917;False;False;False
616;Santa Iria de Azoia, São João da Talha e Bobadela, Lisboa;219000.0;2.0;1.0;92.0;92.0;0.0;;Not available;True;True;44.8;;True;True;False
617;São Martinho, Ilha da Madeira;525000.0;3.0;2.0;108.0;156.0;2.0;4.0;Not available;True;False;;;False;False;False
618;Estrela, Lisboa;435000.0;2.0;1.0;76.0;76.0;0.0;;Not available;True;True;44.8;8.671484111975005;True;True;False
619;Oliveira do Douro, Porto;184500.0;3.0;2.0;99.0;112.0;1.0;5.0;Energy Performance Certificate;False;False;47.0;7.42056882378263;True;True;True
620;Quinta da Cabrinha, Seixal;259500.0;3.0;2.0;99.0;115.0;0.0;;Not available;True;False;44.9;13.01106050401225;False;False;False
621;C2 - Quinta dos Bispos, Vila Nova de Gaia;170000.0;2.0;2.0;94.0;100.0;1.0;3.0;Energy Performance Certificate;False;False;46.8;9.350369766812625;True;True;False
622;Lisboa, Lisboa;595000.0;3.0;2.0;126.0;126.0;1.0;6.0;Energy Performance Certificate;False;True;44.8;11.879567368245146;True;True;False
623;Armação de Pêra, Silves;235000.0;2.0;2.0;71.0;90.0;1.0;4.0;Energy Performance Certificate;False;False;47.1;;False;False;True
624;Póvoa de Santa Iria e Forte da Casa, Lisboa;183000.0;2.0;1.0;50.0;55.0;0.0;1.0;Not available;True;True;44.8;;True;True;False
625;Bemposta, Portimão;210000.0;1.0;1.0;60.0;71.0;0.0;;Not available;True;False;45.5;;False;False;True
626;Sesimbra (Castelo), Setúbal;308000.0;3.0;2.0;115.0;146.0;0.0;;Not available;True;False;44.8;;True;True;True
627;Pinheiro Manso, Porto;240000.0;3.0;2.0;106.0;119.0;1.0;2.0;Energy Performance Certificate;False;False;47.0;2.436876710254812;True;True;True
628;Faro (Sé e São Pedro), Faro;250000.0;3.0;2.0;83.0;102.0;0.0;;Not available;True;False;45.7;;False;False;True
629;Marquês, Porto;374771.0;2.0;2.0;93.0;134.0;1.0;3.0;Not available;True;False;47.0;;True;True;True
630;Marquês, Porto;375475.0;2.0;2.0;97.0;132.0;1.0;2.0;Not available;True;False;47.0;;True;True;True
631;Marquês, Porto;364500.0;2.0;2.0;93.0;119.0;1.0;2.0;Not available;True;False;47.0;;True;True;True
632;Marquês, Porto;645000.0;2.0;2.0;163.0;329.0;2.0;0.0;Not available;True;False;47.0;;True;True;True
633;Moscavide e Portela, Lisboa;350000.0;4.0;2.0;100.0;100.0;0.0;;Not available;True;True;44.8;18.508307907418583;True;True;False
635;Pinhal Novo, Setúbal;247500.0;3.0;2.0;118.0;208.0;2.0;0.0;Energy Performance Certificate;False;False;46.6;;True;True;False
637;Águas Livres, Lisboa;160000.0;2.0;1.0;72.0;78.0;0.0;;Not available;True;True;44.8;;True;True;False
638;Ajuda, Lisboa;379000.0;2.0;1.0;60.0;60.0;0.0;7.0;Energy Performance Certificate;False;True;44.8;8.01873198559227;True;True;False
639;Caniço de Baixo, Santa Cruz;380000.0;3.0;2.0;115.0;150.0;2.0;2.0;Not available;True;False;43.7;;False;False;False
640;Tavira (Santa Maria e Santiago), Faro;260000.0;2.0;2.0;86.0;102.0;1.0;2.0;Energy Performance Certificate;False;False;45.7;79.19533607152272;False;False;True
641;Paderne, Faro;138500.0;2.0;1.0;86.0;86.0;0.0;;Not available;True;False;45.7;30.360871130654424;False;False;True
642;Falagueira-Venda Nova, Lisboa;269900.0;2.0;1.0;85.0;113.0;0.0;;Not available;True;True;44.8;9.05199620778774;True;True;False
643;Paços de Ferreira, Porto;250000.0;2.0;2.0;106.0;117.0;2.0;1.0;Not available;True;False;47.0;;True;True;True
644;São Félix da Marinha, Porto;310000.0;3.0;2.0;95.0;115.0;1.0;1.0;Not available;True;False;47.0;;True;True;True
645;Marvila - Lisboa, Lisboa;217500.0;3.0;2.0;73.0;77.0;0.0;;Not available;True;True;44.8;11.879567368245146;True;True;False
646;Pedroso e Seixezelo, Porto;249500.0;2.0;2.0;110.0;126.0;1.0;2.0;Energy Performance Certificate;False;False;47.0;9.34255294596552;True;True;True
647;Avanca, Estarreja;173500.0;4.0;2.0;169.0;169.0;1.0;0.0;Not available;False;False;48.0;23.142692363180696;False;False;False
648;Ponta Delgada (São José), Ilha de São Miguel;230000.0;3.0;1.0;103.0;103.0;0.0;;Not available;True;False;42.2;;False;False;False
649;São Gonçalo de Lagos, Faro;337500.0;2.0;2.0;92.0;149.0;2.0;2.0;Not available;True;False;45.7;;False;False;True
650;Sines, Setúbal;195000.0;2.0;2.0;89.0;89.0;1.0;0.0;Not available;True;False;46.6;;True;True;False
651;Costa da Caparica, Almada;268000.0;1.0;1.0;43.0;47.0;0.0;;Not available;True;False;46.3;0.0;True;False;True
652;Estoril, Cascais;255000.0;1.0;1.0;62.0;62.0;1.0;;Not available;True;False;46.9;4.942227216158507;False;False;True
653;Torres do Restelo, Lisboa;695000.0;3.0;3.0;140.0;175.0;2.0;1.0;Energy Performance Certificate;False;True;44.8;7.013245074813195;True;True;False
654;Praça Rainha D. Amélia, Porto;178900.0;1.0;1.0;36.0;45.0;0.0;;Not available;True;False;47.0;;True;True;True
655;Praça Rainha D. Amélia, Porto;162300.0;1.0;1.0;34.0;43.0;0.0;;Not available;True;False;47.0;;True;True;True
656;Praça Rainha D. Amélia, Porto;165700.0;1.0;1.0;34.0;43.0;0.0;;Not available;True;False;47.0;;True;True;True
657;Praça Rainha D. Amélia, Porto;158900.0;1.0;1.0;34.0;43.0;0.0;;Not available;True;False;47.0;;True;True;True
658;Praça Rainha D. Amélia, Porto;197200.0;1.0;1.0;34.0;71.0;0.0;;Not available;True;False;47.0;;True;True;True
659;Praça Rainha D. Amélia, Porto;572800.0;2.0;2.0;162.0;215.0;0.0;;Not available;True;False;47.0;;True;True;True
660;Olivais Sul, Lisboa;315000.0;3.0;2.0;75.0;75.0;0.0;;Not available;True;True;44.8;16.764544907684343;True;True;False
663;São Martinho, Ilha da Madeira;258000.0;3.0;2.0;101.0;101.0;1.0;4.0;Not available;True;False;;;False;False;False
664;Gulpilhares e Valadares, Porto;235000.0;2.0;2.0;101.0;101.0;2.0;2.0;Energy Performance Certificate;False;False;47.0;7.203684078768482;True;True;True
665;Linda-a-Velha, Oeiras;167500.0;3.0;2.0;97.0;108.0;0.0;3.0;Not available;False;False;46.5;4.781621070710072;False;False;False
666;Av. Novas/ Av. República, Lisboa;587000.0;5.0;2.0;127.0;130.0;0.0;;Not available;True;True;44.8;;True;True;False
667;Fânzeres - Regadas, Gondomar;225000.0;3.0;3.0;106.0;106.0;1.0;4.0;Not available;True;False;47.1;;True;False;False
668;Porto, Porto;220000.0;3.0;2.0;106.0;106.0;0.0;;Not available;True;False;47.0;3.872775852424896;True;True;True
669;Algés, Oeiras;255000.0;1.0;1.0;50.0;51.0;0.0;;Not available;True;False;46.5;;False;False;False
670;Senhora da Hora, Matosinhos;195000.0;0.0;2.0;40.0;60.0;1.0;4.0;Energy Performance Certificate;False;False;47.5;4.018086816415378;True;False;False
671;Malveira, Mafra;295000.0;3.0;2.0;152.0;186.0;2.0;;Not available;True;False;43.8;20.251576795931044;False;False;False
672;Hospital, Santarém;255000.0;4.0;2.0;126.0;126.0;0.0;;Not available;True;False;48.3;;False;False;False
673;Loures, Loures;420000.0;2.0;2.0;100.0;100.0;1.0;7.0;Energy Performance Certificate;False;False;44.6;18.34297673814834;False;False;False
674;S.Cosme, Gondomar;153500.0;1.0;1.0;71.0;95.0;1.0;2.0;Not available;True;False;47.1;12.260657705282714;True;False;False
675;Costa da Caparica, Setúbal;270000.0;1.0;1.0;55.0;55.0;1.0;3.0;Energy Performance Certificate;False;False;46.6;;True;True;True
677;Alfragide, Lisboa;258000.0;2.0;1.0;77.0;83.0;1.0;1.0;Not available;True;True;44.8;7.720760757247745;True;True;False
678;Jardins do Cristo Rei, Loures;885000.0;4.0;3.0;145.0;219.0;2.0;2.0;Energy Performance Certificate;False;False;44.6;18.254042466654607;False;False;False
679;Boavista, Porto;570000.0;5.0;3.0;183.0;188.0;2.0;6.0;Not available;True;False;47.0;4.196457361249636;True;True;True
