Location;Price;Rooms;WCs;Net Floor Area (m2);Gross Private Area (m2);Parking;Floor;Energy Performance Certificate;Elevator_Not available;Capital;Median Age;Distance To Ocean;Metropolitan Areas;Large cities;Coastal Locations
Cacilhas, Almada;185.000;2.0;1.0;69.0;72.0;;;Not available;True;False;46,3;8.637689974926232;True;False;False
Cacém e São Marcos, Lisboa;198.000;2.0;1.0;83.0;90.0;;;Not available;True;True;44,8;;True;True;False
Cova da Piedade, Almada;329.000;2.0;2.0;94.0;122.0;1.0;2.0;Energy Performance Certificate;False;False;46,3;7.020425110686671;True;False;False
Samora Correia, Santarém;155.000;3.0;2.0;121.0;121.0;;;Not available;True;False;48,3;;False;False;False
Alhandra, Vila Franca de Xira;125.000;2.0;1.0;45.0;64.0;;;Not available;True;False;44,1;35.443728472174655;False;False;False
Matosinhos e Leça da Palmeira, Porto;135.000;3.0;1.0;80.0;145.0;;;Not available;True;False;47,5;;True;True;True
Ramalde, Porto;Under Consultation;1.0;1.0;70.0;70.0;1.0;0.0;Energy Performance Certificate;False;False;47;3.872775852424896;True;True;True
Mafamude e Vilar do Paraíso, Porto;275.000;2.0;2.0;117.0;134.0;1.0;5.0;Not available;False;False;47;;True;True;True
Mafamude e Vilar do Paraíso, Porto;270.000;2.0;2.0;117.0;134.0;1.0;4.0;Not available;False;False;47;;True;True;True
Mafamude e Vilar do Paraíso, Porto;190.000;1.0;2.0;85.0;85.0;;;Not available;True;False;47;;True;True;True
Mafamude e Vilar do Paraíso, Porto;265.000;2.0;2.0;104.0;120.0;1.0;4.0;Not available;False;False;47;;True;True;True
Mafamude e Vilar do Paraíso, Porto;270.000;2.0;2.0;117.0;137.0;1.0;3.0;Not available;False;False;47;;True;True;True
Mafamude e Vilar do Paraíso, Porto;180.000;1.0;2.0;85.0;85.0;;;Not available;True;False;47;;True;True;True
Mafamude e Vilar do Paraíso, Porto;265.000;2.0;2.0;117.0;133.0;1.0;2.0;Not available;False;False;47;;True;True;True
Mafamude e Vilar do Paraíso, Porto;175.000;1.0;2.0;85.0;85.0;;;Not available;True;False;47;;True;True;True
Mafamude e Vilar do Paraíso, Porto;210.000;2.0;2.0;104.0;104.0;;;Not available;True;False;47;;True;True;True
Mafamude e Vilar do Paraíso, Porto;250.000;2.0;2.0;117.0;135.0;1.0;1.0;Not available;False;False;47;;True;True;True
Mafamude e Vilar do Paraíso, Porto;170.000;1.0;2.0;86.0;86.0;;;Not available;True;False;47;;True;True;True
Mafamude e Vilar do Paraíso, Porto;200.000;2.0;2.0;104.0;122.0;;;Not available;True;False;47;;True;True;True
Mafamude e Vilar do Paraíso, Porto;160.000;1.0;2.0;67.0;67.0;;;Not available;True;False;47;;True;True;True
Mafamude e Vilar do Paraíso, Porto;195.000;2.0;2.0;104.0;122.0;1.0;0.0;Not available;False;False;47;;True;True;True
Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Lisboa;490.000;3.0;2.0;103.0;113.0;;;Not available;True;True;44,8;;True;True;False
Selho (São Jorge), Braga;216.000;3.0;3.0;140.0;154.0;2.0;4.0;Not available;True;False;44,4;;False;True;False
Graça, Lisboa;350.000;2.0;1.0;61.0;71.0;;;Not available;True;True;44,8;;True;True;False
Chiado, Lisboa;895.000;3.0;4.0;147.0;163.0;;;Not available;True;True;44,8;10.78655434870648;True;True;False
Praça Rainha D. Amélia, Porto;165.000;1.0;1.0;40.0;43.0;;;Not available;True;False;47;;True;True;True
Montijo e Afonsoeiro, Setúbal;197.500;3.0;2.0;78.0;95.0;;;Not available;True;False;42,6;;True;True;False
Avenidas Novas, Lisboa;335.000;0.0;1.0;47.0;64.0;1.0;4.0;Energy Performance Certificate;False;True;44,8;13.13200174110294;True;True;False
Castelo Branco, Castelo Branco;137.000;4.0;2.0;148.0;195.0;;;Not available;True;False;50,5;124.20107703903876;False;False;False
Moncarapacho e Fuseta, Faro;165.000;1.0;1.0;64.0;64.0;1.0;1.0;Not available;True;False;45,7;66.48155661272949;False;False;True
São Domingos de Benfica, Lisboa;375.000;1.0;1.0;62.0;62.0;1.0;2.0;Not available;True;True;44,8;9.792851966067698;True;True;False
Vila do Conde, Porto;950.000;4.0;3.0;181.0;190.0;2.0;1.0;Energy Performance Certificate;False;False;47;18.041941849848865;True;True;True
Penha de França, Lisboa;350.000;3.0;1.0;;;;;Not available;True;True;44,8;;True;True;False
Lavradio, Barreiro;115.000;2.0;1.0;52.0;61.0;;;Not available;True;False;47;15.917019846488934;False;False;False
Lumiar, Lisboa;299.000;1.0;1.0;66.0;66.0;1.0;0.0;Energy Performance Certificate;False;True;44,8;13.776681240787086;True;True;False
Estrada Monumental, Funchal;580.000;2.0;2.0;64.0;94.0;2.0;10.0;Energy Performance Certificate;False;False;48;914.223294615546;False;True;False
ERA Palmela Azeitao, Seixal;170.000;2.0;1.0;79.0;87.0;;;Not available;True;False;45,3;29.937178690971557;False;False;False
Santa Marta do Pinhal, Seixal;182.000;2.0;1.0;77.0;77.0;;;Not available;True;False;44,9;11.806414752230276;False;False;False
ERA Palmela Azeitao, Barreiro;225.000;3.0;2.0;111.0;125.0;;;Not available;True;False;47;23.6364189681974;False;False;False
Massarelos, Porto;1.850.000;3.0;3.0;268.0;345.0;4.0;5.0;Not available;True;False;47;3.674647707961619;True;True;True
ERA Palmela Azeitao, Moita;120.000;1.0;1.0;51.0;61.0;;;Not available;True;False;45;29.937178690971557;False;False;False
Vale Churido, Bragança;139.000;3.0;2.0;;;;;Not available;True;False;44,4;;False;True;False
Loures, Loures;240.000;2.0;1.0;63.0;63.0;;;Not available;True;False;44,6;18.34297673814834;False;False;False
Lamego (Almacave e Sé), Viseu;Under Consultation;3.0;2.0;101.0;111.0;1.0;2.0;Not available;True;False;51,5;;False;False;False
Marvila, Lisboa;255.000;2.0;1.0;77.0;77.0;;;Not available;True;True;44,8;15.532421029518922;True;True;False
Santa Clara, Coimbra;168.000;2.0;1.0;90.0;98.0;1.0;;Not available;True;False;48,3;37.78388298667887;False;True;False
Rio Tinto, Porto;180.000;2.0;2.0;81.0;98.0;1.0;2.0;Energy Performance Certificate;False;False;47;9.7032781760626;True;True;True
Vendas Novas, Évora;165.000;3.0;2.0;110.0;110.0;;;Not available;True;False;46,9;;False;False;False
Loulé (São Sebastião), Faro;265.000;2.0;1.0;60.0;79.0;0.0;0.0;Not available;True;False;45,7;;False;False;True
Loulé (São Sebastião), Faro;265.000;2.0;1.0;59.0;74.0;0.0;1.0;Not available;True;False;45,7;;False;False;True
Loulé, Loulé;270.000;2.0;1.0;61.0;78.0;0.0;1.0;Not available;True;False;46,9;;False;False;False
Marinha Grande, Leiria;155.000;3.0;2.0;100.0;108.0;1.0;2.0;Not available;True;False;46,4;46.65688543804384;False;False;False
Canidelo, Porto;625.000;2.0;2.0;92.0;105.0;2.0;3.0;Energy Performance Certificate;False;False;47;3.964557675534072;True;True;True
Castelo Branco, Castelo Branco;215.000;3.0;3.0;110.0;138.0;3.0;1.0;Not available;True;False;50,5;124.20107703903876;False;False;False
Vila Nova de Paiva, Vila Nova de Paiva;99.000;3.0;2.0;96.0;109.0;1.0;1.0;Not available;True;False;53,7;75.08154361619711;False;False;False
Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu), Coimbra;237.500;4.0;2.0;99.0;128.0;1.0;2.0;Not available;False;False;48,3;;False;True;False
Granja Park, Castelo Branco;227.000;3.0;2.0;117.0;140.0;1.0;3.0;Energy Performance Certificate;False;False;50,5;123.15261137343614;False;False;False
Ajuda, Funchal;480.000;3.0;2.0;113.0;134.0;3.0;4.0;Energy Performance Certificate;False;False;48;913.3577824919169;False;True;False
Santa Marinha e São Pedro da Afurada, Porto;200.000;1.0;2.0;59.0;69.0;1.0;1.0;Not available;True;False;47;;True;True;True
Entroncamento, Entroncamento;156.000;3.0;2.0;108.0;108.0;1.0;;Not available;True;False;45,5;77.15659134196778;False;False;False
Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto;290.000;;;;;;3.0;Not available;False;False;47;;True;True;True
Guarda, Guarda;82.380;4.0;2.0;80.0;90.0;;;Not available;True;False;49,6;;False;False;False
Pampilhosa, Mealhada;120.000;2.0;1.0;92.0;101.0;;;Not available;True;False;49,3;43.5060658417184;False;False;False
Campolide, Lisboa;420.000;2.0;1.0;62.0;62.0;0.0;8.0;Energy Performance Certificate;False;True;44,8;10.866585593669791;True;True;False
Custóias, Matosinhos;178.000;2.0;1.0;68.0;83.0;1.0;0.0;Not available;True;False;47,5;;True;False;False
Campo de Ourique, Lisboa;349.500;1.0;1.0;54.0;61.0;;;Not available;True;True;44,8;10.281507683662497;True;True;False
Alto Sto Amaro, Lisboa;250.000;1.0;1.0;27.0;37.0;0.0;0.0;Energy Performance Certificate;False;True;44,8;11.879567368245146;True;True;False
Alhos Vedros, Setúbal;95.000;1.0;;;;;;Not available;True;False;46,6;;True;True;False
Vila Praia de Âncora, Viana do Castelo;280.000;4.0;3.0;155.0;161.0;2.0;;Not available;True;False;48,8;;False;False;True
Paços de Ferreira, Porto;270.000;3.0;3.0;130.0;143.0;2.0;0.0;Energy Performance Certificate;False;False;47;;True;True;True
Ponta Delgada (São Pedro), Ilha de São Miguel;445.000;3.0;2.0;197.0;197.0;2.0;3.0;Not available;False;False;42,2;;False;False;False
Corroios, Setúbal;170.000;3.0;1.0;93.0;93.0;;;Not available;True;False;46,6;;True;True;False
Santa Marinha e Afurada, Vila Nova de Gaia;1.250.000;3.0;4.0;181.0;223.0;3.0;10.0;Not available;True;False;46,8;4.89119145704773;True;True;False
Vilamoura, Loulé;350.000;1.0;1.0;62.0;62.0;0.0;3.0;Not available;True;False;46,9;;False;False;False
Santa Marinha e Afurada, Vila Nova de Gaia;650.000;3.0;3.0;128.0;156.0;2.0;6.0;Not available;True;False;46,8;4.89119145704773;True;True;False
São Marcos, Sintra;189.900;2.0;1.0;76.0;82.0;;;Not available;True;False;43,7;;False;False;False
Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto;460.000;2.0;3.0;;;;;Not available;True;False;47;;True;True;True
Barcarena, Lisboa;189.000;2.0;2.0;75.0;81.0;;;Not available;True;True;44,8;4.13671103688827;True;True;False
Barcouço, Mealhada;129.500;2.0;1.0;105.0;128.0;1.0;1.0;Not available;True;False;49,3;;False;False;False
Rua do Brasil / Quinta D. João, Coimbra;220.000;2.0;1.0;82.0;90.0;;;Not available;True;False;48,3;;False;True;False
Canidelo, Vila Nova de Gaia;600.000;2.0;2.0;92.0;105.0;2.0;1.0;Energy Performance Certificate;False;False;46,8;6.1107414726810445;True;True;False
Praia Leça da Palmeira, Matosinhos;650.000;3.0;2.0;134.0;201.0;3.0;5.0;Not available;False;False;47,5;;True;False;False
Encosta da Barata, Abrantes;Under Consultation;3.0;2.0;116.0;127.0;;;Not available;True;False;53,4;97.81508701487935;False;False;False
Aguada de Cima, Águeda;148.000;2.0;1.0;88.0;88.0;2.0;1.0;Not available;True;False;49,1;;False;False;False
Centro de Carnaxide, Oeiras;Under Consultation;3.0;2.0;87.0;97.0;;;Not available;True;False;46,5;5.610197989984755;False;False;False
Laranjeiro, Almada;145.500;1.0;1.0;45.0;50.0;;;Not available;True;False;46,3;6.907300997076936;True;False;False
Águas Santas, Porto;195.000;2.0;2.0;106.0;128.0;1.0;5.0;Energy Performance Certificate;False;False;47;;True;True;True
Parque das Nações, Lisboa;1.150.000;3.0;3.0;149.0;149.0;2.0;9.0;Not available;False;True;44,8;;True;True;False
Cidade da Maia, Porto;180.000;2.0;1.0;82.0;82.0;;;Not available;True;False;45,5;9.976819436369436;True;True;True
Santa Marinha, Vila Nova de Gaia;130.000;1.0;1.0;45.0;48.0;;;Not available;True;False;46,8;4.89119145704773;True;True;False
Arroja, Odivelas;195.000;2.0;1.0;75.0;75.0;;;Not available;True;False;43,7;14.191968258884296;False;False;False
Alfena, Porto;172.500;3.0;2.0;112.0;125.0;1.0;0.0;Not available;True;False;47;15.963105022833892;True;True;True
Peniche, Peniche;162.500;2.0;1.0;82.0;82.0;1.0;1.0;Not available;True;False;47,9;4.690487960994953;False;False;True
Alcabideche, Lisboa;480.000;3.0;2.0;80.0;86.0;1.0;0.0;Not available;True;True;44,8;4.098718251877825;True;True;False
Albufeira e Olhos de Água, Faro;159.500;1.0;1.0;57.0;65.0;;;Not available;True;False;44,4;;False;False;True
Almancil Centro, Loulé;290.000;2.0;2.0;157.0;176.0;1.0;3.0;Not available;False;False;46,9;;False;False;False
Bonfim, Porto;165.000;2.0;1.0;86.0;196.0;;;Not available;True;False;47;6.7467861436355925;True;True;True
Massamá 2ª Fase, Sintra;219.900;2.0;1.0;83.0;96.0;;;Not available;True;False;43,7;;False;False;False
Arcos de Valdevez (Salvador), Vila Fonche e Parada, Viana do Castelo;207.000;3.0;2.0;192.0;152.0;1.0;;Not available;True;False;55,4;37.760974591008114;False;False;True
Covilhã, Covilhã;175.000;3.0;2.0;96.0;100.0;;;Not available;True;False;52;;False;False;False
Faro (Sé e São Pedro), Faro;240.000;2.0;1.0;66.0;79.0;1.0;3.0;Not available;True;False;45,7;;False;False;True
Consolação, Peniche;198.000;2.0;1.0;63.0;96.0;1.0;1.0;Energy Performance Certificate;False;False;47,9;;False;False;True
Espinho I, Espinho;195.000;1.0;1.0;57.0;57.0;1.0;1.0;Not available;False;False;51,1;87.81808599129917;False;False;False
Santa Iria de Azoia, São João da Talha e Bobadela, Lisboa;219.000;2.0;1.0;92.0;92.0;;;Not available;True;True;44,8;;True;True;False
São Martinho, Ilha da Madeira;525.000;3.0;2.0;108.0;156.0;2.0;4.0;Not available;True;False;;;False;False;False
Estrela, Lisboa;435.000;2.0;1.0;76.0;76.0;;;Not available;True;True;44,8;8.671484111975005;True;True;False
Oliveira do Douro, Porto;184.500;3.0;2.0;99.0;112.0;1.0;5.0;Energy Performance Certificate;False;False;47;7.42056882378263;True;True;True
Quinta da Cabrinha, Seixal;259.500;3.0;2.0;99.0;115.0;;;Not available;True;False;44,9;13.01106050401225;False;False;False
C2 - Quinta dos Bispos, Vila Nova de Gaia;170.000;2.0;2.0;94.0;100.0;1.0;3.0;Energy Performance Certificate;False;False;46,8;9.350369766812625;True;True;False
Lisboa, Lisboa;595.000;3.0;2.0;126.0;126.0;1.0;6.0;Energy Performance Certificate;False;True;44,8;11.879567368245146;True;True;False
Armação de Pêra, Silves;235.000;2.0;2.0;71.0;90.0;1.0;4.0;Energy Performance Certificate;False;False;47,1;;False;False;True
Póvoa de Santa Iria e Forte da Casa, Lisboa;183.000;2.0;1.0;50.0;55.0;0.0;1.0;Not available;True;True;44,8;;True;True;False
Bemposta, Portimão;210.000;1.0;1.0;60.0;71.0;;;Not available;True;False;45,5;;False;False;True
Sesimbra (Castelo), Setúbal;308.000;3.0;2.0;115.0;146.0;;;Not available;True;False;44,8;;True;True;True
Pinheiro Manso, Porto;240.000;3.0;2.0;106.0;119.0;1.0;2.0;Energy Performance Certificate;False;False;47;2.436876710254812;True;True;True
Faro (Sé e São Pedro), Faro;250.000;3.0;2.0;83.0;102.0;;;Not available;True;False;45,7;;False;False;True
Marquês, Porto;374.771;2.0;2.0;93.0;134.0;1.0;3.0;Not available;True;False;47;;True;True;True
Marquês, Porto;375.475;2.0;2.0;97.0;132.0;1.0;2.0;Not available;True;False;47;;True;True;True
Marquês, Porto;364.500;2.0;2.0;93.0;119.0;1.0;2.0;Not available;True;False;47;;True;True;True
Marquês, Porto;645.000;2.0;2.0;163.0;329.0;2.0;0.0;Not available;True;False;47;;True;True;True
Moscavide e Portela, Lisboa;350.000;4.0;2.0;100.0;100.0;;;Not available;True;True;44,8;18.508307907418583;True;True;False
Gondomar (São Cosme), Valbom e Jovim, Porto;168.000;;;;;1.0;5.0;Not available;False;False;47,1;;True;True;True
Pinhal Novo, Setúbal;247.500;3.0;2.0;118.0;208.0;2.0;0.0;Energy Performance Certificate;False;False;46,6;;True;True;False
São Martinho, Ilha da Madeira;390.000;;;;;2.0;;Not available;False;False;;;False;False;False
Águas Livres, Lisboa;160.000;2.0;1.0;72.0;78.0;;;Not available;True;True;44,8;;True;True;False
Ajuda, Lisboa;379.000;2.0;1.0;60.0;60.0;0.0;7.0;Energy Performance Certificate;False;True;44,8;8.01873198559227;True;True;False
Caniço de Baixo, Santa Cruz;380.000;3.0;2.0;115.0;150.0;2.0;2.0;Not available;True;False;43,7;;False;False;False
Tavira (Santa Maria e Santiago), Faro;260.000;2.0;2.0;86.0;102.0;1.0;2.0;Energy Performance Certificate;False;False;45,7;79.19533607152272;False;False;True
Paderne, Faro;138.500;2.0;1.0;86.0;86.0;;;Not available;True;False;45,7;30.360871130654424;False;False;True
Falagueira-Venda Nova, Lisboa;269.900;2.0;1.0;85.0;113.0;;;Not available;True;True;44,8;9.05199620778774;True;True;False
Paços de Ferreira, Porto;250.000;2.0;2.0;106.0;117.0;2.0;1.0;Not available;True;False;47;;True;True;True
São Félix da Marinha, Porto;310.000;3.0;2.0;95.0;115.0;1.0;1.0;Not available;True;False;47;;True;True;True
Marvila - Lisboa, Lisboa;217.500;3.0;2.0;73.0;77.0;;;Not available;True;True;44,8;11.879567368245146;True;True;False
Pedroso e Seixezelo, Porto;249.500;2.0;2.0;110.0;126.0;1.0;2.0;Energy Performance Certificate;False;False;47;9.34255294596552;True;True;True
Avanca, Estarreja;173.500;4.0;2.0;169.0;169.0;1.0;0.0;Not available;False;False;48;23.142692363180696;False;False;False
Ponta Delgada (São José), Ilha de São Miguel;230.000;3.0;1.0;103.0;103.0;;;Not available;True;False;42,2;;False;False;False
São Gonçalo de Lagos, Faro;337.500;2.0;2.0;92.0;149.0;2.0;2.0;Not available;True;False;45,7;;False;False;True
Sines, Setúbal;195.000;2.0;2.0;89.0;89.0;1.0;0.0;Not available;True;False;46,6;;True;True;False
Costa da Caparica, Almada;268.000;1.0;1.0;43.0;47.0;;;Not available;True;False;46,3;0.0;True;False;True
Estoril, Cascais;255.000;1.0;1.0;62.0;62.0;1.0;;Not available;True;False;46,9;4.942227216158507;False;False;True
Torres do Restelo, Lisboa;695.000;3.0;3.0;140.0;175.0;2.0;1.0;Energy Performance Certificate;False;True;44,8;7.013245074813195;True;True;False
Praça Rainha D. Amélia, Porto;178.900;1.0;1.0;36.0;45.0;;;Not available;True;False;47;;True;True;True
Praça Rainha D. Amélia, Porto;162.300;1.0;1.0;34.0;43.0;;;Not available;True;False;47;;True;True;True
Praça Rainha D. Amélia, Porto;165.700;1.0;1.0;34.0;43.0;;;Not available;True;False;47;;True;True;True
Praça Rainha D. Amélia, Porto;158.900;1.0;1.0;34.0;43.0;;;Not available;True;False;47;;True;True;True
Praça Rainha D. Amélia, Porto;197.200;1.0;1.0;34.0;71.0;;;Not available;True;False;47;;True;True;True
Praça Rainha D. Amélia, Porto;572.800;2.0;2.0;162.0;215.0;;;Not available;True;False;47;;True;True;True
Olivais Sul, Lisboa;315.000;3.0;2.0;75.0;75.0;;;Not available;True;True;44,8;16.764544907684343;True;True;False
Gouveia, Guarda;Under Consultation;3.0;3.0;158.0;;;;Not available;True;False;58,1;105.1742228656594;False;False;False
Alvalade, Lisboa;1.390.000;5.0;4.0;284.0;368.0;5.0;7.0;Energy Performance Certificate;False;True;44,8;14.072208194283228;True;True;False
São Martinho, Ilha da Madeira;258.000;3.0;2.0;101.0;101.0;1.0;4.0;Not available;True;False;;;False;False;False
Gulpilhares e Valadares, Porto;235.000;2.0;2.0;101.0;101.0;2.0;2.0;Energy Performance Certificate;False;False;47;7.203684078768482;True;True;True
Linda-a-Velha, Oeiras;167.500;3.0;2.0;97.0;108.0;0.0;3.0;Not available;False;False;46,5;4.781621070710072;False;False;False
Av. Novas/ Av. República, Lisboa;587.000;5.0;2.0;127.0;130.0;;;Not available;True;True;44,8;;True;True;False
Fânzeres - Regadas, Gondomar;225.000;3.0;3.0;106.0;106.0;1.0;4.0;Not available;True;False;47,1;;True;False;False
Porto, Porto;220.000;3.0;2.0;106.0;106.0;;;Not available;True;False;47;3.872775852424896;True;True;True
Algés, Oeiras;255.000;1.0;1.0;50.0;51.0;;;Not available;True;False;46,5;;False;False;False
Senhora da Hora, Matosinhos;195.000;0.0;2.0;40.0;60.0;1.0;4.0;Energy Performance Certificate;False;False;47,5;4.018086816415378;True;False;False
Malveira, Mafra;295.000;3.0;2.0;152.0;186.0;2.0;;Not available;True;False;43,8;20.251576795931044;False;False;False
Hospital, Santarém;255.000;4.0;2.0;126.0;126.0;;;Not available;True;False;48,3;;False;False;False
Loures, Loures;420.000;2.0;2.0;100.0;100.0;1.0;7.0;Energy Performance Certificate;False;False;44,6;18.34297673814834;False;False;False
S.Cosme, Gondomar;153.500;1.0;1.0;71.0;95.0;1.0;2.0;Not available;True;False;47,1;12.260657705282714;True;False;False
Costa da Caparica, Setúbal;270.000;1.0;1.0;55.0;55.0;1.0;3.0;Energy Performance Certificate;False;False;46,6;;True;True;True
Parque das Nações - Expo Sul, Lisboa;2.800.000;3.0;3.0;184.0;337.0;4.0;16.0;Energy Performance Certificate;False;True;44,8;;True;True;False
Alfragide, Lisboa;258.000;2.0;1.0;77.0;83.0;1.0;1.0;Not available;True;True;44,8;7.720760757247745;True;True;False
Jardins do Cristo Rei, Loures;885.000;4.0;3.0;145.0;219.0;2.0;2.0;Energy Performance Certificate;False;False;44,6;18.254042466654607;False;False;False
Boavista, Porto;570.000;5.0;3.0;183.0;188.0;2.0;6.0;Not available;True;False;47;4.196457361249636;True;True;True
Forte da Casa, Vila Franca de Xira;269.000;3.0;2.0;94.0;94.0;1.0;2.0;Energy Performance Certificate;False;False;44,1;28.53609709463579;False;False;False
Leça do Balio, Matosinhos;367.000;4.0;3.0;151.0;151.0;2.0;2.0;Energy Performance Certificate;False;False;47,5;;True;False;False
Odivelas Centro, Odivelas;210.000;3.0;1.0;80.0;82.0;0.0;3.0;Not available;True;False;43,7;14.328217649455674;False;False;False
Santa Cruz, Ilha da Madeira;205.000;2.0;2.0;;;;;Not available;True;False;43,7;899.0597564170495;False;False;False
Ponta Delgada (São Pedro), Ilha de São Miguel;760.000;3.0;4.0;171.0;171.0;2.0;3.0;Not available;True;False;42,2;;False;False;False
São Mamede de Infesta e Senhora da Hora, Porto;170.000;2.0;2.0;77.0;92.0;;;Not available;True;False;47;;True;True;True
Grândola e Santa Margarida da Serra, Setúbal;350.000;4.0;2.0;117.0;117.0;;;Not available;True;False;46,6;;True;True;False
Fânzeres e São Pedro da Cova, Porto;Under Consultation;2.0;1.0;83.0;90.0;;;Not available;True;False;47;;True;True;True
Rinchoa, Sintra;200.000;2.0;1.0;90.0;112.0;;;Not available;True;False;43,7;10.472762456554554;False;False;False
Damaia de Cima, Amadora;220.000;2.0;1.0;80.0;85.0;;;Not available;True;False;44,1;8.04128418433145;True;True;False
Pombal, Leiria;Under Consultation;3.0;3.0;229.0;277.0;2.0;2.0;Energy Performance Certificate;False;False;46,4;35.11267563278928;False;False;False
Águas Livres, Lisboa;210.000;2.0;1.0;66.0;71.0;;;Not available;True;True;44,8;;True;True;False
Tomar (São João Baptista) e Santa Maria dos Olivais, Santarém;150.000;3.0;2.0;75.0;75.0;1.0;2.0;Not available;True;False;52,8;;False;False;False
Ranhados, Viseu;130.000;2.0;1.0;88.0;88.0;;;Not available;True;False;46,9;74.37338154557564;False;False;False
Pombal, Leiria;185.000;2.0;2.0;102.0;127.0;1.0;2.0;Energy Performance Certificate;False;False;46,4;35.11267563278928;False;False;False
Venteira, Amadora;189.000;1.0;1.0;45.0;55.0;;;Not available;True;False;44,1;8.931660920362937;True;True;False
Marvila, Lisboa;Sob Consulta;3.0;4.0;473.0;473.0;3.0;4.0;Not available;False;True;44,8;15.532421029518922;True;True;False
Póvoa de Santa Iria e Forte Da Casa, Vila Franca de Xira;319.990;3.0;2.0;162.0;162.0;1.0;3.0;Energy Performance Certificate;False;False;44,1;;False;False;False
Pombal, Leiria;260.000;3.0;2.0;130.0;160.0;2.0;1.0;Not available;False;False;46,4;35.11267563278928;False;False;False
Quelfes, Faro;250.000;2.0;2.0;81.0;95.0;1.0;3.0;Energy Performance Certificate;False;False;45,7;64.18658412080988;False;False;True
Pombal, Leiria;305.000;3.0;2.0;131.0;157.0;2.0;1.0;Energy Performance Certificate;False;False;46,4;35.11267563278928;False;False;False
Corroios Centro, Seixal;175.000;1.0;1.0;61.0;66.0;;;Not available;True;False;44,9;11.806414752230276;False;False;False
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;598.000;3.0;2.0;135.0;171.0;2.0;1.0;Energy Performance Certificate;False;True;44,8;;True;True;False
Santa Marinha e São Pedro da Afurada, Porto;355.000;2.0;2.0;86.0;107.0;1.0;4.0;Not available;True;False;47;;True;True;True
Odivelas, Lisboa;460.000;3.0;2.0;102.0;112.0;2.0;7.0;Energy Performance Certificate;False;True;44,8;14.328217649455674;True;True;False
Castelos, Porto;257.000;3.0;2.0;80.0;88.0;0.0;2.0;Not available;True;False;47;3.872775852424896;True;True;True
Cedofeita, Porto;188.000;0.0;1.0;35.0;35.0;0.0;2.0;Not available;True;False;47;5.370718400555397;True;True;True
Vilamoura, Loulé;10.800;1.0;1.0;50.0;50.0;0.0;;Not available;True;False;46,9;;False;False;False
Alfornelos, Amadora;245.000;2.0;1.0;68.0;;;;Not available;True;False;44,1;10.351777754343637;True;True;False
Mafamude e Vilar do Paraíso, Vila Nova de Gaia;250.000;3.0;3.0;173.0;218.0;2.0;3.0;Not available;True;False;46,8;;True;True;False
Estômbar e Parchal, Faro;189.000;2.0;1.0;77.0;113.0;;;Not available;True;False;45,7;;False;False;True
Júlio Dinis, Porto;325.000;2.0;1.0;80.0;122.0;1.0;5.0;Energy Performance Certificate;False;False;47;;True;True;True
Corroios, Seixal;167.000;3.0;1.0;95.0;95.0;;;Not available;True;False;44,9;7.238655208844806;False;False;False
Santa Maria Maior, Viana do Castelo;213.500;0.0;1.0;64.0;64.0;;;Not available;True;False;48,8;1.5374131605361308;False;False;True
Celas, Coimbra;260.000;3.0;2.0;;;;;Not available;True;False;48,3;40.12085130861075;False;True;False
Telheiras, Lisboa;390.000;2.0;1.0;99.0;110.0;1.0;;Not available;True;True;44,8;12.94312325216144;True;True;False
Montijo e Afonsoeiro, Setúbal;190.000;3.0;2.0;84.0;99.0;;;Not available;True;False;42,6;;True;True;False
Sátão, Sátão;Under Consultation;3.0;2.0;137.0;153.0;;;Not available;True;False;52,1;;False;False;False
Arca d´ Água, Porto;210.000;1.0;1.0;73.0;76.0;1.0;3.0;Energy Performance Certificate;False;False;47;;True;True;True
Centro Histórico, Santarém;295.000;3.0;2.0;203.0;203.0;;;Not available;True;False;48,3;;False;False;False
Celas, Coimbra;250.000;2.0;1.0;53.0;58.0;1.0;2.0;Energy Performance Certificate;False;False;48,3;40.12085130861075;False;True;False
Arroios, Lisboa;395.000;;1.0;;;0.0;;Not available;True;True;44,8;12.344550088464594;True;True;False
Vilamoura, Loulé;310.000;1.0;1.0;57.0;74.0;1.0;3.0;Energy Performance Certificate;False;False;46,9;;False;False;False
Braga (São Vítor), Braga;210.000;2.0;1.0;69.0;69.0;1.0;1.0;Energy Performance Certificate;False;False;44,4;;False;True;False
Paços de Ferreira, Porto;Under Consultation;0.0;1.0;;;;;Not available;True;False;47;;True;True;True
Amadora, Amadora;189.000;2.0;1.0;81.0;91.0;;;Not available;True;False;44,1;8.931660920362937;True;True;False
Paços de Ferreira, Porto;Under Consultation;0.0;1.0;;;;;Not available;True;False;47;;True;True;True
Alto de Algés, Oeiras;985.000;3.0;2.0;135.0;220.0;2.0;0.0;Energy Performance Certificate;False;False;46,5;;False;False;False
Igreja da Memória, Lisboa;360.000;3.0;2.0;64.0;94.0;0.0;0.0;Not available;True;True;44,8;;True;True;False
